NETO N.;Por ;-999;0;0;0;0;0;0;0;0;0
PJACA M.;Tre ;-999;0;0;0;0;0;0;0;0;6.0
MANDZUKIC M.;Att ;-999;0;0;0;0;0;0;0;0;0
STRAKOSHA T.;Por  ;-999;0;2;0;0;0;0;0;0;6.0
BASTA D.;Dif  ;-999;0;0;0;0;0;0;0;0;5.5
BASTOS;Dif ;-999;0;0;0;1;0;0;0;0;5.0
DE VRIJ S.;Dif  ;-999;0;0;0;1;0;0;0;0;6.0
RADU S.;Dif  ;-999;0;0;0;1;0;0;0;0;5.0
PAROLO M.;Cen  ;-999;0;0;0;0;0;0;0;0;4.5
LULIC S.;Cen  ;-999;0;0;0;0;0;0;0;0;5.5
CATALDI D.;Cen ;-999;0;0;0;1;0;0;0;0;5.0
MILINKOVIC S.;Cen  ;-999;0;0;0;0;0;0;0;0;6.0
DJORDJEVIC F.;Att ;-999;0;0;0;0;0;0;0;0;5.0
IMMOBILE C.;Att  ;-999;0;0;0;0;0;0;0;0;5.5
KEITA B.;Tre ;-999;0;0;0;0;0;0;0;0;6.0
ANDERSON F.;Tre ;-999;0;0;0;0;0;0;0;0;6.0
ALBERTO L.;Tre ;-999;0;0;0;0;0;0;0;0;0
DONNARUMMA G.;Por  ;-999;0;0;0;0;0;0;0;0;6.5
DE SCIGLIO M.;Dif  ;-999;0;0;0;0;0;0;0;0;6.5
PALETTA G.;Dif  ;-999;0;0;0;0;0;0;0;0;7.0
ROMAGNOLI A.;Dif  ;-999;0;0;0;0;0;0;0;0;6.5
CALABRIA D.;Dif  ;-999;0;0;0;1;0;0;0;0;7.0
KUCKA J.;Cen  ;-999;0;0;1;0;0;0;0;0;7.0
MONTOLIVO R.;Cen  ;-999;0;0;0;0;0;0;0;0;6.5
SUSO;Tre ;-999;0;0;0;0;0;0;0;0;5.5
BONAVENTURA G.;Tre ;-999;0;0;0;0;0;0;0;0;6.5
NIANG M.;Att  ;-999;1;0;0;0;0;0;0;0;6.0
BACCA C.;Att ;-999;1;0;0;0;0;0;0;0;7.0
GOMEZ G.;Dif ;-999;0;0;0;0;0;0;0;0;0
LOCATELLI M.;Cen ;-999;0;0;0;0;0;0;0;0;6.0
HONDA K.;Tre ;-999;0;0;0;0;0;0;0;0;0
REINA P.;Por  ;-999;0;0;0;0;0;0;0;0;7.0
GHOULAM F.;Dif  ;-999;0;0;0;0;0;0;0;0;6.0
HYSAJ E.;Dif  ;-999;0;0;0;1;0;0;0;0;6.0
ALBIOL R.;Dif  ;-999;0;0;0;0;0;0;0;0;6.0
KOULIBALY K.;Dif  ;-999;0;0;0;0;0;0;0;0;6.5
JORGINHO F.;Cen  ;-999;0;0;0;1;0;0;0;0;6.0
ALLAN M.;Cen ;-999;0;0;0;0;0;0;0;0;6.0
HAMSIK M.;Cen  ;-999;0;0;0;0;0;0;0;0;6.0
MERTENS D.;Tre ;-999;0;0;0;0;0;0;0;0;5.5
CALLEJON J.;Tre  ;-999;0;0;0;0;0;0;0;0;6.0
MILIK A.;Att ;-999;0;0;0;0;0;0;0;0;6.0
ZIELINSKI P.;Cen ;-999;0;0;0;0;0;0;0;0;6.0
INSIGNE L.;Tre ;-999;0;0;0;0;0;0;0;0;5.0
GABBIADINI M.;Att ;-999;0;0;0;0;0;0;0;0;0
POSAVEC J.;Por  ;-999;0;0;0;0;0;0;0;0;7.0
CIONEK T.;Dif  ;-999;0;0;0;1;0;0;0;0;6.5
GOLDANIGA E.;Dif  ;-999;0;0;0;0;0;0;0;0;6.0
ALEESAMI H.;Dif  ;-999;0;0;0;0;0;0;0;0;5.5
ANDELKOVIC S.;Dif  ;-999;0;0;0;0;0;0;0;0;5.0
RISPOLI A.;Dif  ;-999;0;0;0;0;0;0;0;0;6.5
HENRIQUE B.;Cen ;-999;0;0;0;0;0;0;0;0;6.0
CHOCHEV I.;Cen  ;-999;0;0;0;0;0;0;0;0;6.0
HILJEMARK O.;Cen ;-999;0;0;0;0;0;0;0;0;6.0
